Pair 0[1]: Avg MSE: 547.87, Avg SSIM: 0.87
Pair 0[2]: Avg MSE: 563.95, Avg SSIM: 0.87
Pair 0[3]: Avg MSE: 583.24, Avg SSIM: 0.87
Pair 0[4]: Avg MSE: 599.76, Avg SSIM: 0.87
Pair 0[5]: Avg MSE: 615.47, Avg SSIM: 0.87
Pair 0[6]: Avg MSE: 632.31, Avg SSIM: 0.87
Pair 0[7]: Avg MSE: 648.98, Avg SSIM: 0.86
Pair 0[8]: Avg MSE: 666.01, Avg SSIM: 0.86
Pair 0[9]: Avg MSE: 679.29, Avg SSIM: 0.86
Pair 0[10]: Avg MSE: 691.05, Avg SSIM: 0.86
Pair 1[1]: Avg MSE: 235.67, Avg SSIM: 0.93
Pair 1[2]: Avg MSE: 242.99, Avg SSIM: 0.93
Pair 1[3]: Avg MSE: 249.38, Avg SSIM: 0.93
Pair 1[4]: Avg MSE: 255.75, Avg SSIM: 0.93
Pair 1[5]: Avg MSE: 262.33, Avg SSIM: 0.93
Pair 1[6]: Avg MSE: 267.63, Avg SSIM: 0.93
Pair 1[7]: Avg MSE: 273.13, Avg SSIM: 0.93
Pair 1[8]: Avg MSE: 279.23, Avg SSIM: 0.93
Pair 1[9]: Avg MSE: 285.59, Avg SSIM: 0.92
Pair 1[10]: Avg MSE: 290.24, Avg SSIM: 0.92
Pair 2[1]: Avg MSE: 333.20, Avg SSIM: 0.89
Pair 2[2]: Avg MSE: 348.92, Avg SSIM: 0.89
Pair 2[3]: Avg MSE: 363.65, Avg SSIM: 0.89
Pair 2[4]: Avg MSE: 373.49, Avg SSIM: 0.88
Pair 2[5]: Avg MSE: 386.81, Avg SSIM: 0.88
Pair 2[6]: Avg MSE: 400.63, Avg SSIM: 0.88
Pair 2[7]: Avg MSE: 414.76, Avg SSIM: 0.88
Pair 2[8]: Avg MSE: 428.64, Avg SSIM: 0.88
Pair 2[9]: Avg MSE: 438.57, Avg SSIM: 0.88
Pair 2[10]: Avg MSE: 448.49, Avg SSIM: 0.88
Pair 3[1]: Avg MSE: 224.77, Avg SSIM: 0.90
Pair 3[2]: Avg MSE: 233.14, Avg SSIM: 0.90
Pair 3[3]: Avg MSE: 241.15, Avg SSIM: 0.90
Pair 3[4]: Avg MSE: 245.76, Avg SSIM: 0.90
Pair 3[5]: Avg MSE: 252.66, Avg SSIM: 0.90
Pair 3[6]: Avg MSE: 260.93, Avg SSIM: 0.90
Pair 3[7]: Avg MSE: 270.97, Avg SSIM: 0.90
Pair 3[8]: Avg MSE: 278.64, Avg SSIM: 0.90
Pair 3[9]: Avg MSE: 284.01, Avg SSIM: 0.90
Pair 3[10]: Avg MSE: 290.56, Avg SSIM: 0.90
Pair 4[1]: Avg MSE: 335.08, Avg SSIM: 0.91
Pair 4[2]: Avg MSE: 351.94, Avg SSIM: 0.91
Pair 4[3]: Avg MSE: 367.22, Avg SSIM: 0.91
Pair 4[4]: Avg MSE: 379.35, Avg SSIM: 0.91
Pair 4[5]: Avg MSE: 393.14, Avg SSIM: 0.91
Pair 4[6]: Avg MSE: 409.38, Avg SSIM: 0.90
Pair 4[7]: Avg MSE: 425.47, Avg SSIM: 0.90
Pair 4[8]: Avg MSE: 440.15, Avg SSIM: 0.90
Pair 4[9]: Avg MSE: 451.25, Avg SSIM: 0.90
Pair 4[10]: Avg MSE: 462.63, Avg SSIM: 0.90
Pair 5[1]: Avg MSE: 200.02, Avg SSIM: 0.91
Pair 5[2]: Avg MSE: 207.50, Avg SSIM: 0.91
Pair 5[3]: Avg MSE: 213.36, Avg SSIM: 0.91
Pair 5[4]: Avg MSE: 218.72, Avg SSIM: 0.91
Pair 5[5]: Avg MSE: 224.61, Avg SSIM: 0.91
Pair 5[6]: Avg MSE: 230.10, Avg SSIM: 0.91
Pair 5[7]: Avg MSE: 236.43, Avg SSIM: 0.91
Pair 5[8]: Avg MSE: 243.16, Avg SSIM: 0.91
Pair 5[9]: Avg MSE: 248.26, Avg SSIM: 0.91
Pair 5[10]: Avg MSE: 254.04, Avg SSIM: 0.91
Pair 6[1]: Avg MSE: 270.30, Avg SSIM: 0.89
Pair 6[2]: Avg MSE: 281.46, Avg SSIM: 0.89
Pair 6[3]: Avg MSE: 292.57, Avg SSIM: 0.89
Pair 6[4]: Avg MSE: 301.69, Avg SSIM: 0.88
Pair 6[5]: Avg MSE: 311.01, Avg SSIM: 0.88
Pair 6[6]: Avg MSE: 322.17, Avg SSIM: 0.88
Pair 6[7]: Avg MSE: 333.03, Avg SSIM: 0.88
Pair 6[8]: Avg MSE: 345.50, Avg SSIM: 0.88
Pair 6[9]: Avg MSE: 352.95, Avg SSIM: 0.88
Pair 6[10]: Avg MSE: 362.61, Avg SSIM: 0.88
Pair 7[1]: Avg MSE: 287.40, Avg SSIM: 0.89
Pair 7[2]: Avg MSE: 298.70, Avg SSIM: 0.89
Pair 7[3]: Avg MSE: 309.25, Avg SSIM: 0.89
Pair 7[4]: Avg MSE: 320.00, Avg SSIM: 0.89
Pair 7[5]: Avg MSE: 330.88, Avg SSIM: 0.89
Pair 7[6]: Avg MSE: 341.80, Avg SSIM: 0.89
Pair 7[7]: Avg MSE: 352.09, Avg SSIM: 0.89
Pair 7[8]: Avg MSE: 365.41, Avg SSIM: 0.89
Pair 7[9]: Avg MSE: 373.37, Avg SSIM: 0.89
Pair 7[10]: Avg MSE: 382.40, Avg SSIM: 0.89
Pair 8[1]: Avg MSE: 281.69, Avg SSIM: 0.89
Pair 8[2]: Avg MSE: 294.47, Avg SSIM: 0.89
Pair 8[3]: Avg MSE: 305.92, Avg SSIM: 0.89
Pair 8[4]: Avg MSE: 313.24, Avg SSIM: 0.89
Pair 8[5]: Avg MSE: 324.36, Avg SSIM: 0.88
Pair 8[6]: Avg MSE: 336.24, Avg SSIM: 0.88
Pair 8[7]: Avg MSE: 350.10, Avg SSIM: 0.88
Pair 8[8]: Avg MSE: 363.50, Avg SSIM: 0.88
Pair 8[9]: Avg MSE: 372.03, Avg SSIM: 0.88
Pair 8[10]: Avg MSE: 380.83, Avg SSIM: 0.88
Pair 9[1]: Avg MSE: 334.36, Avg SSIM: 0.92
Pair 9[2]: Avg MSE: 350.59, Avg SSIM: 0.92
Pair 9[3]: Avg MSE: 367.54, Avg SSIM: 0.92
Pair 9[4]: Avg MSE: 383.18, Avg SSIM: 0.92
Pair 9[5]: Avg MSE: 398.31, Avg SSIM: 0.92
Pair 9[6]: Avg MSE: 411.53, Avg SSIM: 0.92
Pair 9[7]: Avg MSE: 424.17, Avg SSIM: 0.92
Pair 9[8]: Avg MSE: 436.66, Avg SSIM: 0.92
Pair 9[9]: Avg MSE: 447.19, Avg SSIM: 0.92
Pair 9[10]: Avg MSE: 458.45, Avg SSIM: 0.92
Pair 10[1]: Avg MSE: 374.10, Avg SSIM: 0.88
Pair 10[2]: Avg MSE: 385.00, Avg SSIM: 0.88
Pair 10[3]: Avg MSE: 395.15, Avg SSIM: 0.88
Pair 10[4]: Avg MSE: 404.56, Avg SSIM: 0.88
Pair 10[5]: Avg MSE: 414.14, Avg SSIM: 0.88
Pair 10[6]: Avg MSE: 425.78, Avg SSIM: 0.88
Pair 10[7]: Avg MSE: 435.54, Avg SSIM: 0.88
Pair 10[8]: Avg MSE: 446.56, Avg SSIM: 0.88
Pair 10[9]: Avg MSE: 454.19, Avg SSIM: 0.88
Pair 10[10]: Avg MSE: 463.76, Avg SSIM: 0.88
Pair 11[1]: Avg MSE: 291.75, Avg SSIM: 0.89
Pair 11[2]: Avg MSE: 303.26, Avg SSIM: 0.89
Pair 11[3]: Avg MSE: 312.70, Avg SSIM: 0.89
Pair 11[4]: Avg MSE: 319.94, Avg SSIM: 0.89
Pair 11[5]: Avg MSE: 329.58, Avg SSIM: 0.89
Pair 11[6]: Avg MSE: 339.64, Avg SSIM: 0.89
Pair 11[7]: Avg MSE: 351.58, Avg SSIM: 0.88
Pair 11[8]: Avg MSE: 362.56, Avg SSIM: 0.88
Pair 11[9]: Avg MSE: 369.43, Avg SSIM: 0.88
Pair 11[10]: Avg MSE: 377.71, Avg SSIM: 0.88
Pair 12[1]: Avg MSE: 187.41, Avg SSIM: 0.91
Pair 12[2]: Avg MSE: 196.01, Avg SSIM: 0.91
Pair 12[3]: Avg MSE: 204.38, Avg SSIM: 0.91
Pair 12[4]: Avg MSE: 211.21, Avg SSIM: 0.91
Pair 12[5]: Avg MSE: 218.00, Avg SSIM: 0.91
Pair 12[6]: Avg MSE: 225.67, Avg SSIM: 0.91
Pair 12[7]: Avg MSE: 232.78, Avg SSIM: 0.91
Pair 12[8]: Avg MSE: 240.15, Avg SSIM: 0.91
Pair 12[9]: Avg MSE: 246.14, Avg SSIM: 0.91
Pair 12[10]: Avg MSE: 251.52, Avg SSIM: 0.91
Pair 13[1]: Avg MSE: 233.97, Avg SSIM: 0.91
Pair 13[2]: Avg MSE: 242.38, Avg SSIM: 0.91
Pair 13[3]: Avg MSE: 250.73, Avg SSIM: 0.91
Pair 13[4]: Avg MSE: 258.33, Avg SSIM: 0.91
Pair 13[5]: Avg MSE: 264.85, Avg SSIM: 0.91
Pair 13[6]: Avg MSE: 271.25, Avg SSIM: 0.91
Pair 13[7]: Avg MSE: 276.99, Avg SSIM: 0.91
Pair 13[8]: Avg MSE: 284.74, Avg SSIM: 0.90
Pair 13[9]: Avg MSE: 290.37, Avg SSIM: 0.90
Pair 13[10]: Avg MSE: 296.66, Avg SSIM: 0.90
Pair 14[1]: Avg MSE: 413.40, Avg SSIM: 0.89
Pair 14[2]: Avg MSE: 428.95, Avg SSIM: 0.89
