Pair 0[1]: Avg MSE: 587.79, Avg SSIM: 0.87
Pair 0[2]: Avg MSE: 620.28, Avg SSIM: 0.86
Pair 0[3]: Avg MSE: 652.27, Avg SSIM: 0.86
Pair 0[4]: Avg MSE: 677.68, Avg SSIM: 0.86
Pair 0[5]: Avg MSE: 702.10, Avg SSIM: 0.86
Pair 0[6]: Avg MSE: 726.79, Avg SSIM: 0.86
Pair 0[7]: Avg MSE: 749.08, Avg SSIM: 0.86
Pair 0[8]: Avg MSE: 771.21, Avg SSIM: 0.86
Pair 0[9]: Avg MSE: 788.31, Avg SSIM: 0.85
Pair 0[10]: Avg MSE: 804.68, Avg SSIM: 0.85
Pair 1[1]: Avg MSE: 199.03, Avg SSIM: 0.93
Pair 1[2]: Avg MSE: 212.53, Avg SSIM: 0.93
Pair 1[3]: Avg MSE: 224.10, Avg SSIM: 0.93
Pair 1[4]: Avg MSE: 233.79, Avg SSIM: 0.93
Pair 1[5]: Avg MSE: 243.17, Avg SSIM: 0.93
Pair 1[6]: Avg MSE: 251.81, Avg SSIM: 0.93
Pair 1[7]: Avg MSE: 259.51, Avg SSIM: 0.93
Pair 1[8]: Avg MSE: 266.46, Avg SSIM: 0.93
Pair 1[9]: Avg MSE: 273.11, Avg SSIM: 0.93
Pair 1[10]: Avg MSE: 279.56, Avg SSIM: 0.93
Pair 2[1]: Avg MSE: 421.43, Avg SSIM: 0.88
Pair 2[2]: Avg MSE: 449.14, Avg SSIM: 0.88
Pair 2[3]: Avg MSE: 474.73, Avg SSIM: 0.87
Pair 2[4]: Avg MSE: 493.12, Avg SSIM: 0.87
Pair 2[5]: Avg MSE: 513.65, Avg SSIM: 0.87
Pair 2[6]: Avg MSE: 536.69, Avg SSIM: 0.87
Pair 2[7]: Avg MSE: 555.60, Avg SSIM: 0.87
Pair 2[8]: Avg MSE: 574.62, Avg SSIM: 0.87
Pair 2[9]: Avg MSE: 589.77, Avg SSIM: 0.87
Pair 2[10]: Avg MSE: 600.22, Avg SSIM: 0.87
Pair 3[1]: Avg MSE: 326.79, Avg SSIM: 0.89
Pair 3[2]: Avg MSE: 341.01, Avg SSIM: 0.89
Pair 3[3]: Avg MSE: 355.42, Avg SSIM: 0.89
Pair 3[4]: Avg MSE: 362.16, Avg SSIM: 0.89
Pair 3[5]: Avg MSE: 374.19, Avg SSIM: 0.89
Pair 3[6]: Avg MSE: 388.25, Avg SSIM: 0.89
Pair 3[7]: Avg MSE: 402.63, Avg SSIM: 0.89
Pair 3[8]: Avg MSE: 412.89, Avg SSIM: 0.89
Pair 3[9]: Avg MSE: 421.92, Avg SSIM: 0.88
Pair 3[10]: Avg MSE: 428.40, Avg SSIM: 0.88
Pair 4[1]: Avg MSE: 488.60, Avg SSIM: 0.90
Pair 4[2]: Avg MSE: 520.53, Avg SSIM: 0.90
Pair 4[3]: Avg MSE: 548.75, Avg SSIM: 0.90
Pair 4[4]: Avg MSE: 569.97, Avg SSIM: 0.89
Pair 4[5]: Avg MSE: 592.79, Avg SSIM: 0.89
Pair 4[6]: Avg MSE: 619.65, Avg SSIM: 0.89
