Pair 0[1]: Avg MSE: 992.51, Avg SSIM: 0.88
Pair 0[2]: Avg MSE: 736.63, Avg SSIM: 0.89
Pair 0[3]: Avg MSE: 573.12, Avg SSIM: 0.88
Pair 0[4]: Avg MSE: 519.34, Avg SSIM: 0.86
Pair 0[5]: Avg MSE: 560.06, Avg SSIM: 0.83
Pair 0[6]: Avg MSE: 727.00, Avg SSIM: 0.80
Pair 0[7]: Avg MSE: 1101.74, Avg SSIM: 0.77
Pair 0[8]: Avg MSE: 1736.29, Avg SSIM: 0.74
Pair 0[9]: Avg MSE: 2715.63, Avg SSIM: 0.71
Pair 0[10]: Avg MSE: 4084.84, Avg SSIM: 0.68
Pair 1[1]: Avg MSE: 1271.22, Avg SSIM: 0.89
Pair 1[2]: Avg MSE: 1048.36, Avg SSIM: 0.90
Pair 1[3]: Avg MSE: 880.58, Avg SSIM: 0.89
Pair 1[4]: Avg MSE: 784.35, Avg SSIM: 0.89
Pair 1[5]: Avg MSE: 730.92, Avg SSIM: 0.88
Pair 1[6]: Avg MSE: 747.79, Avg SSIM: 0.86
Pair 1[7]: Avg MSE: 864.76, Avg SSIM: 0.84
Pair 1[8]: Avg MSE: 1089.03, Avg SSIM: 0.81
Pair 1[9]: Avg MSE: 1430.23, Avg SSIM: 0.78
Pair 1[10]: Avg MSE: 1891.47, Avg SSIM: 0.75
Pair 2[1]: Avg MSE: 1036.40, Avg SSIM: 0.88
Pair 2[2]: Avg MSE: 796.10, Avg SSIM: 0.89
Pair 2[3]: Avg MSE: 635.58, Avg SSIM: 0.89
Pair 2[4]: Avg MSE: 586.19, Avg SSIM: 0.87
Pair 2[5]: Avg MSE: 705.33, Avg SSIM: 0.84
Pair 2[6]: Avg MSE: 954.37, Avg SSIM: 0.81
Pair 2[7]: Avg MSE: 1317.44, Avg SSIM: 0.78
Pair 2[8]: Avg MSE: 1942.07, Avg SSIM: 0.75
Pair 2[9]: Avg MSE: 2924.10, Avg SSIM: 0.72
Pair 2[10]: Avg MSE: 4278.16, Avg SSIM: 0.68
Pair 3[1]: Avg MSE: 1178.61, Avg SSIM: 0.87
Pair 3[2]: Avg MSE: 934.97, Avg SSIM: 0.89
Pair 3[3]: Avg MSE: 735.30, Avg SSIM: 0.89
Pair 3[4]: Avg MSE: 600.05, Avg SSIM: 0.88
Pair 3[5]: Avg MSE: 553.69, Avg SSIM: 0.87
Pair 3[6]: Avg MSE: 621.58, Avg SSIM: 0.85
Pair 3[7]: Avg MSE: 850.15, Avg SSIM: 0.82
Pair 3[8]: Avg MSE: 1291.18, Avg SSIM: 0.78
Pair 3[9]: Avg MSE: 2016.13, Avg SSIM: 0.75
Pair 3[10]: Avg MSE: 3025.06, Avg SSIM: 0.71
Pair 4[1]: Avg MSE: 969.53, Avg SSIM: 0.87
Pair 4[2]: Avg MSE: 680.65, Avg SSIM: 0.89
Pair 4[3]: Avg MSE: 454.44, Avg SSIM: 0.90
